AvgDurEmp;AvgTimeFillVac;InvAdjTime;LabAdjTime;ManCycTime;MinOrdProTime;Productivity;SafStoCov;StdWorkWeek;VacAdjTime;WIPAdjTime;penalty
63.0535;9.8136;13.3894;16.6551;10.0421;2.6134;0.3285;1.5346;49.7811;3.5687;6.0754;9.713279598
131.0625;10.9026;15.1959;15.8967;5.6499;1.6315;0.1776;1.516;26.7099;5.5142;3.9543;10.18594842
65.8332;8.4369;11.959;28.0793;11.4841;1.7475;0.2318;2.3326;43.4742;5.3055;8.2031;10.26801591
110.368;7.0728;16.2506;19.8327;9.8828;2.4478;0.1414;1.4422;46.029;2.846;7.8007;9.359268521
62.8402;10.2704;12.5862;21.3049;4.945;1.8998;0.1795;2.0017;41.344;4.5599;5.6918;9.168997618
109.6005;6.1007;15.3445;13.3512;7.8934;2.5772;0.183;1.9619;55.9975;3.7459;4.3283;9.833434617
75.2539;10.1984;15.7841;12.2083;9.4849;2.8277;0.3035;1.3647;29.5148;5.7386;7.9985;9.70221752
112.9266;11.0491;15.3629;10.3741;6.8334;1.4789;0.2575;2.5276;26.9812;4.1703;5.3059;10.64499558
139.7573;7.8797;17.0105;13.8818;8.7656;1.5837;0.3471;2.4743;44.3498;4.3464;7.0639;9.868662215
67.3451;9.6726;9.486;20.5615;10.338;1.8015;0.344;1.7387;26.4962;5.3793;3.999;11.70239104
119.6446;8.5458;6.6961;14.7908;5.4619;1.4089;0.2711;1.1445;32.9476;2.5135;7.5857;10.75923236
116.0922;8.7247;10.2171;17.0962;6.9603;2.4385;0.2696;2.7947;55.2383;3.1974;3.588;11.09560737
95.6647;11.175;8.5799;23.3972;10.2226;2.01;0.2913;2.2797;51.333;4.2222;5.9743;11.85780808
127.9723;9.7562;8.5998;25.4798;8.869;2.6991;0.3169;2.8175;33.0558;2.6019;3.2363;11.83185957
137.9448;7.9071;7.8319;22.1002;6.3515;2.3597;0.2631;1.4317;45.7712;5.6325;7.2307;11.05435496
98.0909;6.9414;15.1532;14.9482;10.6911;1.2688;0.259;1.7503;33.2627;5.6808;5.4619;10.11217447
143.6129;4.9065;14.2035;15.8168;7.9264;2.0912;0.3712;1.1357;43.1913;5.4821;3.8293;10.13594159
60.9648;5.4106;6.6314;11.838;11.3744;1.66;0.2364;2.2379;48.23;3.4026;6.291;11.67482866
65.1771;6.1931;11.3034;27.2771;7.5178;2.5354;0.2455;1.4536;28.9681;2.3921;6.1042;9.373123846
74.0629;5.8638;9.756;23.4817;7.002;1.5418;0.2643;2.0277;57.0454;4.6881;6.5387;9.679090094
103.2833;5.9451;15.4529;19.3971;5.9105;1.2598;0.1914;2.5834;49.5693;4.4399;3.641;9.02889353
72.7326;5.919;14.8032;22.6095;8.4518;2.0495;0.2821;1.1995;52.7382;2.1808;3.7402;8.990204351
58.8592;6.6593;12.5198;9.9008;4.4007;2.5015;0.3183;2.0426;50.895;3.2004;7.5432;8.686410796
108.6065;8.9021;10.3042;24.6364;9.1782;2.1026;0.1451;1.5592;23.3504;5.648;6.4869;10.90037175
105.7014;5.3702;11.4825;17.6924;4.6438;2.3749;0.1597;1.092;25.8716;3.949;4.7387;8.999280234
87.3387;11.3183;15.9542;18.8022;4.8204;2.9087;0.1586;1.2833;36.0593;2.1423;7.9496;9.08364943
126.7764;8.2543;15.6771;23.2001;9.7919;2.7818;0.3726;1.4988;48.4379;2.7727;5.1733;9.866615099
92.508;6.6922;11.8672;18.0993;8.5269;1.7725;0.1509;2.8918;43.9313;2.7093;7.2993;9.56005198
129.5995;10.746;8.9094;12.3686;4.5012;2.3186;0.2309;2.0109;49.8492;3.9779;7.6964;10.71962053
104.6858;8.9768;12.8342;22.6178;10.9165;2.4171;0.3025;2.0935;22.9533;4.1005;7.7224;10.33181704
80.8997;9.969;17.5565;27.2026;7.1909;1.3664;0.3239;1.4659;40.1407;3.0219;5.8807;9.224192767
114.8148;7.3165;10.876;23.6774;4.5742;1.4596;0.2611;1.6429;34.7808;5.2546;4.4953;9.39417804
77.6655;8.9359;16.6742;10.5046;8.9589;1.3076;0.2857;2.4877;54.961;2.4741;3.3165;10.69086372
63.8048;6.3013;11.0041;21.4716;6.1058;2.8565;0.1564;2.7118;37.8795;4.586;4.6942;9.367215251
73.0251;11.085;8.0666;14.1074;6.1613;2.622;0.2999;1.251;55.6833;2.3431;5.4319;10.75218513
69.5692;4.8147;17.4242;11.4711;11.4076;2.1553;0.215;2.7282;36.2765;5.0053;8.4014;9.086679138
106.5374;9.4431;16.4306;23.8669;6.1419;1.5975;0.3368;2.7654;55.5686;4.1394;4.9737;9.236293744
67.7743;4.7918;16.1602;19.9925;4.3619;1.0141;0.1763;2.2628;23.7489;5.4631;3.9724;8.893348259
105.3965;5.7798;14.7569;12.9875;7.6873;1.7127;0.2904;1.2989;47.1153;3.6164;8.9514;8.998855699
82.9528;10.0222;14.6732;25.1021;11.2469;1.9513;0.1645;1.6615;43.7186;3.5401;4.7648;10.10418122
127.3238;8.871;14.1405;9.6752;10.2835;2.0365;0.2111;1.6343;25.3294;3.3316;6.9209;11.01430396
142.5557;6.7418;11.6159;17.1712;9.1583;2.3271;0.2477;2.1843;36.6167;4.9561;3.4594;11.50408306
109.4052;6.7759;8.3901;23.6077;10.867;1.5019;0.2267;1.3713;45.597;3.8291;8.4569;11.22050211
68.7522;10.2271;12.0113;25.9556;5.5882;1.1829;0.341;2.8888;29.1628;2.6683;8.3772;9.359564239
91.5267;7.3736;11.9132;14.3957;7.4204;1.287;0.1708;1.271;51.7333;2.835;5.3652;9.443423229
145.5572;7.6565;13.7745;23.119;7.7521;1.9064;0.1756;1.2152;34.4182;2.2067;3.0112;10.15445276
53.57;9.151;14.0007;25.5805;10.3881;2.2525;0.3337;2.8799;37.136;4.5014;4.9862;9.746477757
115.5491;5.2445;16.7542;23.8084;9.9724;1.8212;0.3219;1.3927;27.9619;2.2908;7.2282;9.269559099
71.1825;11.5495;14.4286;11.7507;4.8924;1.0097;0.3322;1.8994;36.4135;2.9525;7.6031;8.745631109
56.4652;10.8531;7.4807;14.5493;7.4645;2.3455;0.2565;2.3127;30.4117;5.2999;7.833;11.23514483
62.0934;11.2172;11.564;12.6186;10.2689;2.5489;0.1865;2.2916;56.2992;2.7302;3.4047;11.76422558
146.6778;11.7671;14.5921;10.0974;10.4169;1.3402;0.1696;1.7243;55.0391;2.9135;7.3242;11.47454887
138.7782;11.333;7.2929;18.3971;8.6274;2.5655;0.1516;2.4652;30.6001;3.3109;6.4754;11.86444245
134.98;5.6694;16.0991;24.3463;8.3332;1.5583;0.1969;1.4129;54.0396;4.9672;5.4956;9.408475443
60.1725;8.7711;7.5048;23.0157;4.7881;2.3608;0.3057;1.122;48.008;5.268;4.9259;10.14104557
93.3589;4.345;8.1794;15.9782;7.5879;1.6764;0.339;2.1185;29.7742;5.9334;6.9981;10.40874378
